[File](https://github.com/),Lines,Code Lines,Comment Lines,Blank Lines
src/main/java/frc/misc/PID.java,63,36,18,9
src/main/java/frc/misc/InitializationFailureException.java,43,15,23,5
src/main/java/frc/misc/UserInterface.java,98,71,16,11
src/main/java/frc/misc/LEDs.java,90,74,4,12
src/main/java/frc/misc/ISubsystem.java,94,19,62,13
src/main/java/frc/misc/UtilFunctions.java,35,9,24,2
src/main/java/frc/misc/Chirp.java,213,138,48,27
src/main/java/frc/misc/QuoteOfTheDay.java,69,55,11,3
src/main/java/frc/telemetry/RobotTelemetry.java,192,112,54,26
src/main/java/frc/telemetry/imu/WrappedPigeonIMU.java,91,54,15,22
src/main/java/frc/telemetry/imu/SupportedIMU.java,8,4,3,1
src/main/java/frc/telemetry/imu/AbstractIMU.java,60,38,10,12
src/main/java/frc/telemetry/imu/WrappedNavX2IMU.java,119,70,29,20
src/main/java/frc/ballstuff/intaking/Intake.java,149,107,19,23
src/main/java/frc/ballstuff/intaking/IntakeControlStyles.java,8,4,3,1
src/main/java/frc/ballstuff/intaking/Hopper.java,194,140,29,25
src/main/java/frc/ballstuff/shooting/Turret.java,309,214,67,28
src/main/java/frc/ballstuff/shooting/ArticulatedHood.java,302,256,24,22
src/main/java/frc/ballstuff/shooting/ShootingEnums.java,104,84,7,13
src/main/java/frc/ballstuff/shooting/Shooter.java,373,282,62,29
src/main/java/frc/ballstuff/shooting/ShootingControlStyles.java,8,4,3,1
src/main/java/frc/controllers/BaseController.java,122,71,28,23
src/main/java/frc/controllers/BopItBasicController.java,30,19,8,3
src/main/java/frc/controllers/ButtonPanelController.java,43,24,14,5
src/main/java/frc/controllers/DrumTimeController.java,37,23,10,4
src/main/java/frc/controllers/JoystickController.java,96,43,44,9
src/main/java/frc/controllers/SixButtonGuitarController.java,37,23,10,4
src/main/java/frc/controllers/ControllerEnums.java,362,196,110,56
src/main/java/frc/controllers/WiiController.java,47,21,21,5
src/main/java/frc/controllers/XBoxController.java,68,35,26,7
src/main/java/frc/selfdiagnostics/IMUNonOpIssue.java,29,20,3,6
src/main/java/frc/selfdiagnostics/MotorDisconnectedIssue.java,40,30,3,7
src/main/java/frc/selfdiagnostics/ISimpleIssue.java,40,17,20,3
src/main/java/frc/selfdiagnostics/IssueHandler.java,17,6,8,3
src/main/java/frc/selfdiagnostics/DistanceSensorNonOpIssue.java,36,20,9,7
src/main/java/frc/robot/Robot.java,286,235,32,19
src/main/java/frc/robot/Main.java,30,9,17,4
src/main/java/frc/robot/robotconfigs/DefaultConfig.java,192,141,33,18
src/main/java/frc/robot/robotconfigs/twentyone/Swerve2021.java,120,93,10,17
src/main/java/frc/robot/robotconfigs/twentyone/CompetitionRobot2021.java,118,91,10,17
src/main/java/frc/robot/robotconfigs/twentyone/PracticeRobot2021.java,119,89,11,19
src/main/java/frc/robot/robotconfigs/twentytwenty/Robot2020.java,111,83,10,18
src/main/java/frc/vision/distancesensor/IDistanceSensor.java,24,10,11,3
src/main/java/frc/vision/distancesensor/RevDistanceSensor.java,92,58,11,23
src/main/java/frc/vision/camera/SupportedVision.java,9,4,3,2
src/main/java/frc/vision/camera/GoalLimelight.java,149,116,6,27
src/main/java/frc/vision/camera/BallPhoton.java,175,102,47,26
src/main/java/frc/vision/camera/VisionLEDMode.java,20,6,13,1
src/main/java/frc/vision/camera/IVision.java,75,32,30,13
src/main/java/frc/vision/camera/GoalPhoton.java,172,102,43,27
src/main/java/frc/motors/VictorMotorController.java,145,120,5,20
src/main/java/frc/motors/SupportedMotors.java,15,8,4,3
src/main/java/frc/motors/SparkMotorController.java,190,155,14,21
src/main/java/frc/motors/AbstractMotorController.java,169,47,99,23
src/main/java/frc/motors/TalonMotorController.java,172,138,13,21
src/main/java/frc/motors/followers/SparkFollowerMotorsController.java,21,15,3,3
src/main/java/frc/motors/followers/TalonFollowerMotorController.java,21,15,3,3
src/main/java/frc/motors/followers/AbstractFollowerMotorController.java,77,33,35,9
src/main/java/frc/pdp/PDP.java,44,12,26,6
src/main/java/frc/drive/DriveBases.java,9,5,3,1
src/main/java/frc/drive/DriveTypes.java,15,9,5,1
src/main/java/frc/drive/DriveManagerSwerve.java,320,221,48,51
src/main/java/frc/drive/AbstractDriveManager.java,41,20,14,7
src/main/java/frc/drive/DriveManagerStandard.java,407,285,89,33
src/main/java/frc/drive/auton/Point.java,59,25,27,7
src/main/java/frc/drive/auton/IAutonEnumPath.java,15,4,10,1
src/main/java/frc/drive/auton/AutonType.java,11,4,6,1
src/main/java/frc/drive/auton/AbstractAutonManager.java,83,58,15,10
src/main/java/frc/drive/auton/galacticsearch/AutonManager.java,171,117,31,23
src/main/java/frc/drive/auton/galacticsearch/GalacticSearchPaths.java,75,62,6,7
src/main/java/frc/drive/auton/followtrajectory/AutonManager.java,95,70,7,18
src/main/java/frc/drive/auton/followtrajectory/Trajectories.java,28,17,6,5
src/main/java/frc/drive/auton/galacticsearchscam/AutonManager.java,102,74,8,20
Total,7603,5019,1609,975
